Timestamp,Entity Name,IP - LIMPOS
2025-08-01 23:26:00,INVERSOR_1,0
2025-08-01 23:36:00,INVERSOR_1,0
2025-08-01 23:46:00,INVERSOR_1,0
2025-08-01 23:56:00,INVERSOR_1,0
2025-08-02 00:06:00,INVERSOR_1,0
2025-08-02 00:16:00,INVERSOR_1,0
2025-08-02 00:26:00,INVERSOR_1,0
2025-08-02 00:36:00,INVERSOR_1,0
2025-08-02 00:46:00,INVERSOR_1,0
2025-08-02 00:56:00,INVERSOR_1,0
2025-08-02 01:06:00,INVERSOR_1,0
2025-08-02 01:16:00,INVERSOR_1,0
2025-08-02 01:26:00,INVERSOR_1,0
2025-08-02 01:36:00,INVERSOR_1,0
2025-08-02 01:46:00,INVERSOR_1,0
2025-08-02 01:56:00,INVERSOR_1,0
2025-08-02 02:06:00,INVERSOR_1,0
2025-08-02 02:16:00,INVERSOR_1,0
2025-08-02 02:26:00,INVERSOR_1,0
2025-08-02 02:36:00,INVERSOR_1,0
2025-08-02 02:46:00,INVERSOR_1,0
2025-08-02 02:56:00,INVERSOR_1,0
2025-08-02 03:06:00,INVERSOR_1,0
2025-08-02 03:16:00,INVERSOR_1,0
2025-08-02 03:26:00,INVERSOR_1,0
2025-08-02 03:36:00,INVERSOR_1,0
2025-08-02 03:46:00,INVERSOR_1,0
2025-08-02 03:56:00,INVERSOR_1,0
2025-08-02 04:06:00,INVERSOR_1,0
2025-08-02 04:16:00,INVERSOR_1,0
2025-08-02 04:26:00,INVERSOR_1,0
2025-08-02 04:36:00,INVERSOR_1,0
2025-08-02 04:46:00,INVERSOR_1,0
2025-08-02 04:56:00,INVERSOR_1,0
2025-08-02 05:06:00,INVERSOR_1,0
2025-08-02 05:16:00,INVERSOR_1,0
2025-08-02 05:26:00,INVERSOR_1,0
2025-08-02 05:36:00,INVERSOR_1,0
2025-08-02 05:46:00,INVERSOR_1,0
2025-08-02 05:56:00,INVERSOR_1,6.126.315.789.473.680
2025-08-02 06:06:00,INVERSOR_1,20.532.758.620.689.600
2025-08-02 06:16:00,INVERSOR_1,31.808.620.689.655.100
2025-08-02 06:26:00,INVERSOR_1,7.361.052.631.578.940
2025-08-02 06:36:00,INVERSOR_1,13.537.413.793.103.400
2025-08-02 06:46:00,INVERSOR_1,20.305.172.413.793.100
2025-08-02 06:56:00,INVERSOR_1,2.537.578.947.368.420
2025-08-02 07:06:00,INVERSOR_1,2.946.810.344.827.580
2025-08-02 07:16:00,INVERSOR_1,36.010.689.655.172.400
2025-08-02 07:26:00,INVERSOR_1,3.927.859.649.122.800
2025-08-02 07:36:00,INVERSOR_1,4.114.793.103.448.270
2025-08-02 07:46:00,INVERSOR_1,39.167.586.206.896.500
2025-08-02 07:56:00,INVERSOR_1,33.185.087.719.298.200
2025-08-02 08:06:00,INVERSOR_1,5.518.551.724.137.930
2025-08-02 08:16:00,INVERSOR_1,5.748.929.824.561.400
2025-08-02 08:26:00,INVERSOR_1,6.444.120.689.655.170
2025-08-02 08:36:00,INVERSOR_1,5.796.103.448.275.860
2025-08-02 08:46:00,INVERSOR_1,7.271.298.245.614.030
2025-08-02 08:56:00,INVERSOR_1,6.317.051.724.137.930
2025-08-02 09:06:00,INVERSOR_1,5.242.543.859.649.120
2025-08-02 09:16:00,INVERSOR_1,5.198.637.931.034.480
2025-08-02 09:26:00,INVERSOR_1,6.226.754.385.964.910
2025-08-02 09:36:00,INVERSOR_1,763.653.448.275.862
2025-08-02 09:46:00,INVERSOR_1,6.685.896.551.724.130
2025-08-02 09:56:00,INVERSOR_1,8.132.631.578.947.360
2025-08-02 10:06:00,INVERSOR_1,8.439.758.620.689.650
2025-08-02 10:16:00,INVERSOR_1,8.424.172.413.793.100
2025-08-02 10:26:00,INVERSOR_1,8.576.456.140.350.870
2025-08-02 10:36:00,INVERSOR_1,7.510.137.931.034.480
2025-08-02 10:46:00,INVERSOR_1,8.401.206.896.551.720
2025-08-02 10:56:00,INVERSOR_1,8.302.754.385.964.910
2025-08-02 11:06:00,INVERSOR_1,8.199.948.275.862.060
2025-08-02 11:16:00,INVERSOR_1,8.417.684.210.526.310
2025-08-02 11:26:00,INVERSOR_1,750.946.551.724.138
2025-08-02 11:36:00,INVERSOR_1,6.893.637.931.034.480
2025-08-02 11:46:00,INVERSOR_1,4.458.842.105.263.150
2025-08-02 11:56:00,INVERSOR_1,5.375.500.000.000.000
2025-08-02 12:06:00,INVERSOR_1,838.678.947.368.421
2025-08-02 12:16:00,INVERSOR_1,8.597.258.620.689.650
2025-08-02 12:26:00,INVERSOR_1,7.581.310.344.827.580
